	text	provenance	convention	old	new
0	The parser generates events similar to an xml sax parser, and is very efficient memory wise. 	efficiency	industrial	0	1
1	Verify response time of the Application Under Load is within an acceptable range when the network connectivity is slow 	efficiency	industrial	0	1
2	Flexible and powerful JSON manipulation, validation and serialization, with no reflection at runtime. 	efficiency	industrial	0	1
3	Requires data to be entered only once, with no re-keying. 	efficiency	industrial	0	1
4	DebugBear - Monitor website performance and Lighthouse scores. 	efficiency	industrial	0	1
5	Data Processing Framework Using Apache and Spark Technologies in Big Data. 	efficiency	industrial	0	1
6	The TensorFlow project strives to abide by generally accepted best practices in open-source software development. 	efficiency	civic	1	1
7	Each dataset is represented by a directory containing the same image data in several resolutions to enable efficient streaming. 	efficiency	industrial	0	1
8	Therefore, developers of less demanding software gradually lower their standard on efficiency.  	efficiency	industrial	0	1
9	Cache-Control headers and gzip support to be as fast as possible. 	efficiency	industrial	0	1
10	Integrated web-based platform that manages the total spectrum of data needed to manage energy efficiency programs. 	efficiency	green	0	1
11	Efficiency attempts to measure the amount of productive code contributed by a software developer. 	efficiency	industrial	0	1
12	It could be more than double the RAM requirements. 	efficiency	industrial	0	1
13	Identify a database test data load tool for the development/component unit test environment; this is required to ensure that the database optimizer chooses correct execution paths and to enable reinitializing and reloading the database as needed. 	efficiency	industrial	0	1
14	Private bytes - number of bytes a process has allocated that can't be shared amongst other processes. These are used to measure memory leaks and usage. 	efficiency	industrial	0	1
15	Cache-Control headers and gzip support to be as fast as possible. 	efficiency	industrial	0	1
16	A deep learning framework designed for both efficiency and flexibility. 	efficiency	industrial	0	1
17	Thread counts - An applications health can be measured by the no. of threads that are running and currently active. 	efficiency	industrial	0	1
18	When it comes to improving the execution time of your multiple-task code, you may want to utilize multiple cores in the CPU to execute several tasks simultaneously.  	efficiency	industrial	0	1
19	The fast pace of hardware development provides enriched hardware resources that increase the tolerance to inefficiency.  	efficiency	industrial	0	1
20	CPU support for inference: runs on CPU in inference time. See our webcam demo for an example. 	efficiency	industrial	0	1
21	Scalable fuzzing infrastructure. 	efficiency	industrial	0	1
22	Efficiency testing test the amount of code and testing resources required by a program to perform a particular function. 	efficiency	industrial	0	1
23	To scalable distributed processing, Apache Spark also allows interactive data analysis. 	efficiency	industrial	0	1
24	Create programming code that ensures data integrity and consistency. 	efficiency	industrial	0	1
25	DebugBear - Monitor website performance and Lighthouse scores. 	efficiency	industrial	0	1
26	Efficient binary serialization. 	efficiency	industrial	0	1
27	DebugBear - Monitor website performance and Lighthouse scores. 	efficiency	industrial	0	1
28	High-performance computing applications such as seismic analysis and biotechnology workloads scaled horizontally to support tasks that once would have required expensive supercomputers. 	efficiency	industrial	0	1
29	Verify response time of the Application Under Load is within an acceptable range when the network connectivity is slow 	efficiency	industrial	0	1
30	Create programming code that ensures data integrity and consistency. 	efficiency	industrial	0	1
31	Remove unnecessary code or code that goes to redundant processing. 	efficiency	industrial	0	1
32	Security, safety and privacy challenges and building secure AI systems. 	efficiency	civic	1	1
33	Therefore,finding a method for resource allocation optimization is crucial to achieve software efficiency or performance optimization at the software architectural level.  	efficiency	industrial	0	1
34	Cycle time describes how long it takes to change the software system and implement that change in production. 	efficiency	industrial	0	1
35	Open/close rates are calculated by tracking production issues reported in a specific time period. 	efficiency	industrial	0	1
36	Efficient binary serialization. 	efficiency	industrial	0	1
37	The distributed nature of the Domain Name System allows it to work efficiently, serving billions of hosts on the worldwide Internet. 	efficiency	industrial	0	1
38	This reduces recompilation time a lot. 	efficiency	industrial	0	1
39	The guidelines are focused on relatively higher-level issues, such as interfaces, resource management, memory management, and concurrency. 	efficiency	industrial	0	1
40	DoctorKafka can also perform load balancing based on topic partitions\'s network usage, and makes sure that broker network usage does not exceed the defined settings. 	efficiency	industrial	0	1
41	Gorgonia is currently fairly performant - its speeds are comparable to Theano's and Tensorflow's  CPU implementations. 	efficiency	industrial	0	1
42	A software product suffers from poor scalability when it cannot handle the expected number of users or when it does not accommodate a wide enough range of users.  	efficiency	industrial	0	1
43	Lets you build scalable, resilient, and reactive applications that meet the needs of your business. 	efficiency	industrial	0	1
44	Efficiency testing tests the amount of resources required by a program to perform a specific function. 	efficiency	industrial	0	1
45	A toolkit and runtime for building highly concurrent, distributed, and fault tolerant event-driven applications. 	efficiency	industrial	0	1
46	Average relative increase in memory consumption. 	efficiency	industrial	0	1
47	Verify response time is not more than 4 secs when 1000 users access the website simultaneously. 	efficiency	industrial	0	1
48	A library for fast numerical computation. 	efficiency	industrial	0	1
49	Indexes are used to quickly locate data without having to search every row in a database table every time a database table is accessed.  	efficiency	industrial	0	1
0	Cycle time describes how long it takes to change the software system and implement that change in production. 	efficiency	industrial	0	1
1	A simple Python program may not cause many problems when it comes to memory, but memory utilization becomes critical on high memory consuming projects. 	efficiency	industrial	0	1
2	Response time is the time it takes from when a user inputs data into the application until the application outputs a response to that input. 	efficiency	industrial	0	1
3	Whether for desktop, mobile, or web apps, in this course you'll see how to identify pain points and measure them accurately, as well as view multiple approaches to improve the performance.  	efficiency	industrial	0	1
