text	provenance	convention	old	new
In this study we first introduce a new model of dynamics on a symbolic space, the versatile shift, showing that it supports the real-time simulation of a range of automata.	Semantic Scholar	renown	1	0
Due to the world-wide coverage of its users and real-time freshness of tweets, location prediction on Twitter has gained significant attention in recent years.	Semantic Scholar	renown	1	0
Sonic explanations for the so-called health attacks have long dominated media reports, propelled by peculiar sounds heard and auditory symptoms experienced.	Semantic Scholar	renown	1	0
It is noteworthy to mention that this model also has also the potential to synthesize new videos showing variations of one specific emotion on the face of unknown subjects.	Semantic Scholar	renown	1	1
With the advent of more and more online social media, the information available and its utilization have come under the threat of several anomalies.	Semantic Scholar	renown	1	0
Through a series of experiments on both synthetic and real datasets, we have demonstrated that CRAFTER is superior than Random Forest Clustering (RFC), an existing tree-based clustering method, in terms of both the clustering quality and the computational cost.	Semantic Scholar	renown	0	0
To assess the proposed method, dataset IIa from BCI competition IV, containing the EEG trials of 9 subjects performing four mental tasks, was utilized.	Semantic Scholar	renown	0	0
Some effect of physical load and high task dynamics was registered.	Semantic Scholar	renown	0	0
© 2017 Elsevier Inc. All rights reserved.	Semantic Scholar	renown	0	0
In this paper, we study the distance-aware influence maximization (DAIM) problem, which advocates the importance of the distance between users and the promoted location.	Semantic Scholar	renown	0	0
Last, we assume that they follow paths generated by pink noise.	Semantic Scholar	renown	0	0
First, that the network is piecewise convex as a function of the input data.	Semantic Scholar	renown	0	0
We achieved an average classification accuracy rate of 87.50% with the 4.3 standard deviation value for the subjects in eyes-open condition and an average classification accuracy rate of 94.12% with the 2.9 standard deviation value for the subjects in eyes-closed condition.	Semantic Scholar	renown	0	0
In this letter, we present an approach for dense semantic weed classification with multispectral images collected by a micro aerial vehicle (MAV).	Semantic Scholar	renown	0	0
The problems are formulated as DC (difference of convex functions) programming.	Semantic Scholar	renown	0	0
The human experiments show that the reference movements are ergonomically plausible to mimic the actual motion of humans.	Semantic Scholar	renown	0	0
Children with autism spectrum disorders (ASD) often exhibit impairments in communication and social interaction, and thus face various social challenges in collaborative activities.	Semantic Scholar	renown	1	0
Results suggest that participants were already aware that harsh accelerations are to be avoided when eco-driving; however, additional eco-driving support, particularly that which involved the auditory and haptic modalities, further discouraged these behaviors.	Semantic Scholar	renown	1	0
