text	provenance	convention	old	new
There are many multiagent systems applications, and even real-world elections, where this assumption is not warranted, and this in turn raises a series of questions on the impact of partial voting on the complexity of manipulative actions.	Semantic Scholar	renown	1	1
This letter reports on WaterGAN, a generative adversarial network (GAN) for generating realistic underwater images from in-air image and depth pairings in an unsupervised pipeline used for color correction of monocular underwater images.	Semantic Scholar	renown	1	0
This letter reports on WaterGAN, a generative adversarial network (GAN) for generating realistic underwater images from in-air image and depth pairings in an unsupervised pipeline used for color correction of monocular underwater images.	Semantic Scholar	inspired	0	1
They still obtain a state-of-the-art predictive performance, but a theoretical analysis of their behavior has been underexplored in the machine learning literature.	Semantic Scholar	renown	1	0
They still obtain a state-of-the-art predictive performance, but a theoretical analysis of their behavior has been underexplored in the machine learning literature.	Semantic Scholar	industrial	0	1
We analyze the monotonicity property of different decision-making criteria, both in 2-D and 3-D, with respect to the representation of uncertainty and of the orientation of the robot's pose.	Semantic Scholar	renown	1	0
We analyze the monotonicity property of different decision-making criteria, both in 2-D and 3-D, with respect to the representation of uncertainty and of the orientation of the robot's pose.	Semantic Scholar	industrial	0	1
One approach to the recognition of complex human activities is to use feature descriptors that encode visual interactions by describing properties of local visual features with respect to trajectories of tracked objects.	Semantic Scholar	renown	1	0
One approach to the recognition of complex human activities is to use feature descriptors that encode visual interactions by describing properties of local visual features with respect to trajectories of tracked objects.	Semantic Scholar	industrial	0	1
Frog can outperform Gunrock more than 1.04X when running PageRank and SSSP, while the advantage of Frog is not obvious when running BFS and CC on some datasets especially for RoadNet-CA.	Semantic Scholar	renown	1	0
Frog can outperform Gunrock more than 1.04X when running PageRank and SSSP, while the advantage of Frog is not obvious when running BFS and CC on some datasets especially for RoadNet-CA.	Semantic Scholar	industrial	0	1
However, automated pupil detection has proved to be an intricate task in real-world scenarios due to a large mixture of challenges such as quickly changing illumination and occlusions.	Semantic Scholar	renown	1	0
Our recent experiments using a controllable stiffness robotic probe representing a human finger also confirmed that such stiffness control in the finger can enhance the accuracy of detecting hard nodules in soft tissue.	Semantic Scholar	renown	1	0
Our recent experiments using a controllable stiffness robotic probe representing a human finger also confirmed that such stiffness control in the finger can enhance the accuracy of detecting hard nodules in soft tissue.	Semantic Scholar	industrial	0	1
We address this problem by using carbon fiber strip to store energy, two wings to flap the water surface, a hollow body to initially support the robot, and an intermittent gear train to charge and release energy.	Semantic Scholar	renown	1	0
We address this problem by using carbon fiber strip to store energy, two wings to flap the water surface, a hollow body to initially support the robot, and an intermittent gear train to charge and release energy.	Semantic Scholar	industrial	0	1
In this work, our aim is to design a diffusion model in which factors considered are flexible to be extended and changed and the uncertainly of information exposure is explicitly tackled.	Semantic Scholar	renown	1	0
