text	confidence_value	confidence_level	data_provenance
However, the corresponding mechanisms are not yet fully understood and require further investigation.	0.005737180821597576	Low	Semantic Scholar
Allowing systematic parameter studies, computational modeling provides the opportunity to examine the underlying effects that influence extracellular potentials.	0.005674606654793024	Low	Semantic Scholar
In this letter, we present an in silico single cell model to analyze the effect of geometrical variability on the extracellular electric potentials.	0.0013763594906777143	Low	Semantic Scholar
We describe finite element models of a single neuron with varying geometric complexity in three-dimensional space.	0.0017431746236979961	Low	Semantic Scholar
The electric potential generation of the neuron is modeled using Hodgkin-Huxley equations.	0.0013019645120948553	Low	Semantic Scholar
The signal propagation is described with electro-quasi-static equations, and results are compared with corresponding cable equation descriptions.	0.003864053636789322	Low	Semantic Scholar
This paper depicts the structural design of a novel water-jet-based spherical underwater robot.	0.0012066150084137917	Low	Semantic Scholar
The propulsion system is made up of four water-jet thrusters and 8 steering servo motors which can adjust the polydirectional shift of thrusters nozzle to achieve 4-degrees-of-freedom (4-DOF) motion.	0.005836747586727142	Low	Semantic Scholar
Every two thrusters nozzles formed an angle of 90 degree in one plane.	0.0008610039949417114	Low	Semantic Scholar
The primary side whose core is TMS320f28335 processor was employed for the data collection and disposing calculation.	0.004607625305652618	Low	Semantic Scholar
The Micron Data Modem is integrated into the electrical design, which can realize the data transmission and communication between multi-SURs in future.	0.004423270467668772	Low	Semantic Scholar
A FSMC controller was employed to control the direction of the vectored water-jet thrusters for underwater motion.	0.0007976381457410753	Low	Semantic Scholar
The experimental results demonstrated that the novel spherical underwater robot could realize underwater motion rapidly and accurately.	0.004933011252433062	Low	Semantic Scholar
The performance of the novel SUR is more nimbler and flexible than the previous SUR-II we developed.	0.004250922240316868	Low	Semantic Scholar
This letter combines Bayesian task prioritization with probabilistic movement primitives (ProMPs) to prioritize full motion sequences that are learned from demonstrations.	0.004982389975339174	Low	Semantic Scholar
The probabilistic formulation allows for a natural application of Bayesian task prioritization.	0.005013632588088512	Low	Semantic Scholar
We demonstrate how the task priorities can be obtained from imitation learning and how different primitives can be combined to solve even unseen task-combinations.	0.005136817693710327	Low	Semantic Scholar
Due to the prioritization, our approach can efficiently learn a combination of tasks without requiring individual models per task combination.	0.0025720689445734024	Low	Semantic Scholar
Moreover, we prove that our method is probabilistically complete.	0.0008110904018394649	Low	Semantic Scholar
This tool will support decision makers in determining the impact of introducing new (circular) business models.	0.001899675582535565	Low	Semantic Scholar
Networked observational devices have proliferated in recent years, contributing to voluminous data streams from a variety of sources and problem domains.	0.0055021122097969055	Low	Semantic Scholar
These streams often have a spatiotemporal component and include multidimensional features of interest.	0.0032360339537262917	Low	Semantic Scholar
In this study, we propose Synopsis, an online, distributed sketch that is constructed from voluminous spatiotemporal data streams.	0.004409831017255783	Low	Semantic Scholar
The sketch summarizes feature values and inter-feature relationships in memory to facilitate real-time query evaluations and to serve as input to computations expressed using analytical engines.	0.003248482244089246	Low	Semantic Scholar
As the data streams evolve, Synopsis performs targeted dynamic scaling to ensure high accuracy and effective resource utilization.	0.0036577170249074697	Low	Semantic Scholar
Conventional planning algorithms often rely on a fixed virtual hitting plane to construct robot striking trajectories.	0.003314983332529664	Low	Semantic Scholar
These algorithms, however, generate restrictive strokes and can result in unnatural strategies when compared with human playing.	0.0018437366234138608	Low	Semantic Scholar
A free-time optimal control approach is used to derive two different trajectory optimizers.	0.0013674410292878747	Low	Semantic Scholar
The resulting two algorithms, Focused Player and Defensive Player, encode two different play-styles.	0.0032600671984255314	Low	Semantic Scholar
We evaluate their performance in simulation and in our robot table tennis platform with a high speed cable-driven seven DOF robot arm.	0.005626363679766655	Low	Semantic Scholar
The algorithms return the balls with a higher probability to the opponent ’ s court when compared with a virtual hitting plane basedmethod.	0.0013681052951142192	Low	Semantic Scholar
Moreover, both can be run online and the trajectories can be corrected with new ball observations.	0.0005764051456935704	Low	Semantic Scholar
© 2018 The Authors.	0.0005024672136642039	Low	Semantic Scholar
Published by Elsevier B.V.	0.0006793193169869483	Low	Semantic Scholar
This is an open access article under the CC BY-NC-ND license (http: //creativecommons.org/licenses/by-nc-nd/4.0/).	0.0023527739103883505	Low	Semantic Scholar
Between 1985 and 2015 the focus has changed from the classical approach to a heuristic approach.	0.003106160322204232	Low	Semantic Scholar
Keywords—Robot motion planning, Dynamic Environments, Collision Avoidance.	0.0011404830729588866	Low	Semantic Scholar
Electrical isolation using the ablation catheter has been widely used as the golden standard for the treatment of atrial fibrillation.	0.0020124048460274935	Low	Semantic Scholar
Kinematics with asymmetric bends under the free bend and constraint bend are investigated.	0.0019426025683060288	Low	Semantic Scholar
