text	confidence_value	confidence_level
Microelectrode arrays serve as an indispensable tool in electro-physiological research to study the electrical activity of neural cells, enabling measurements of single cell as well as network communication analysis.	0.0002376967022428289	Low	Semantic Scholar
Allowing systematic parameter studies, computational modeling provides the opportunity to examine the underlying effects that influence extracellular potentials.	0.0006520197493955493	Low	Semantic Scholar
In this letter, we present an in silico single cell model to analyze the effect of geometrical variability on the extracellular electric potentials.	0.0022749712225049734	Low	Semantic Scholar
The electric potential generation of the neuron is modeled using Hodgkin-Huxley equations.	0.00019404137856326997	Low	Semantic Scholar
A bilayer structure was adopted for the control system to obtain data from various sensors, meanwhile control the outputs of ports after calculation processing.	0.0006142324418760836	Low	Semantic Scholar
Based on the theoretical analysis and calculation, a series of underwater experiments were carried out to test the performance of the novel spherical underwater robot; these experiments included surgesway motion test, yaw motion test, heave motion test, and anti-interference test.	0.0012205963721498847	Low	Semantic Scholar
The experimental results demonstrated that the novel spherical underwater robot could realize underwater motion rapidly and accurately.	0.0017329652328044176	Low	Semantic Scholar
The probabilistic formulation allows for a natural application of Bayesian task prioritization.	0.0030385805293917656	Low	Semantic Scholar
Furthermore, our approach can adapt an existing primitive library by prioritizing additional controllers, for example, for implementing obstacle avoidance.	0.0026887664571404457	Low	Semantic Scholar
Finding a set of diverse paths among dynamic obstacles is an appealing navigation strategy for mobile robots to qualitatively reason about multiple path hypotheses to the goal.	0.0002603172033559531	Low	Semantic Scholar
Kohonen's Self Organizing feature Map (SOM) provides an effective way to project high dimensional input features onto a low dimensional display space while preserving the topological relationships among the input features.	0.00035000688512809575	Low	Semantic Scholar
Recent advances in algorithms that take advantages of modern computing hardware introduced the concept of high resolution SOMs (HRSOMs).	0.0004990141605958343	Low	Semantic Scholar
This paper investigates the capabilities and applicability of the HRSOM as a visualization tool for cluster analysis and its suitabilities to serve as a pre-processor in ensemble learning models.	0.001208508969284594	Low	Semantic Scholar
The evaluation is conducted on a number of established benchmarks and real-world learning problems, namely, the policeman benchmark, two web spam detection problems, a network intrusion detection problem, and a malware detection problem.	0.0005560342688113451	Low	Semantic Scholar
This tool will support decision makers in determining the impact of introducing new (circular) business models.	0.00016569969011470675	Low	Semantic Scholar
The model has been developed using an agent-based modeling approach which delivers results based on socio-demographic factors of a population and customers ’ relative preferences of product attributes price, environmental friendliness and service-orientation.	0.000583508110139519	Low	Semantic Scholar
The implementation of the model has been tested using the practical business example of a washing machine.	0.0018379826797172427	Low	Semantic Scholar
Agent-based models are emphasized as highly capable to fill the gap between diffusion-based penetration of information and resulting behavior in the form of purchase decisions.	0.001885650446638465	Low	Semantic Scholar
Networked observational devices have proliferated in recent years, contributing to voluminous data streams from a variety of sources and problem domains.	0.000272002856945619	Low	Semantic Scholar
These algorithms, however, generate restrictive strokes and can result in unnatural strategies when compared with human playing.	0.0009941974421963096	Low	Semantic Scholar
© 2018 The Authors.	0.0012052946258336306	Low	Semantic Scholar
Published by Elsevier B.V.	0.00037419438012875617	Low	Semantic Scholar
This is an open access article under the CC BY-NC-ND license (http: //creativecommons.org/licenses/by-nc-nd/4.0/).	0.000491941231302917	Low	Semantic Scholar
Robot Motion Planning (RMP) has been a thrust area of research in computing due to its complexity, since RMP in dynamic environments for a point robot with bounded velocity is an NP-hard problem.	0.00016749727365095168	Low	Semantic Scholar
Between 1985 and 2015 the focus has changed from the classical approach to a heuristic approach.	0.0006587963434867561	Low	Semantic Scholar
Other important approaches include artificial potential field based, artificial intelligence based, probabilistic based RMP and applications in areas of Agent systems and computer geometry.	2.7070385840488598e-05	Low	Semantic Scholar
Keywords—Robot motion planning, Dynamic Environments, Collision Avoidance.	0.0013172224862501025	Low	Semantic Scholar
In this letter, we propose a two-dimensional (2-D) tendon-actuated asymmetric catheter to render two different bending characteristics to adapt to the special anatomy.	0.0014453157782554626	Low	Semantic Scholar
The algorithm of 3-D path exploration in the confined workspace is proposed to validate the reachability.	0.0016251077177003026	Low	Semantic Scholar
Non-negative matrix factorization (NMF) is the problem of determining two non-negative low rank factors <inline-formula> <tex-math notation="LaTeX"> $\mathbf {W} $</tex-math> <alternatives> <inline-graphic xlink: href="kannan-ieq1-2767592.gif"/> </alternatives> </inline-formula> and <inline-formula> <tex-math notation="LaTeX"> $\mathbf {H} $</tex-math> <alternatives> <inline-graphic xlink: href="kannan-ieq2-2767592.gif"/> </alternatives> </inline-formula>, for the given input matrix <inline-formula> <tex-math notation="LaTeX"> $\mathbf {A} $</tex-math> <alternatives> <inline-graphic xlink: href="kannan-ieq3-2767592.gif"/> </alternatives> </inline-formula>, such that <inline-formula> <tex-math notation="LaTeX"> $\mathbf {A} \approx \mathbf {W} \mathbf {H} $</tex-math> <alternatives> <inline-graphic xlink: href="kannan-ieq4-2767592.gif"/> </alternatives> </inline-formula>.	0.0003644828393589705	Low	Semantic Scholar
Despite its popularity in the data mining community, there is a lack of efficient parallel algorithms to solve the problem for big data sets.	0.0005242114420980215	Low	Semantic Scholar
The main contribution of this work is a new, high-performance parallel computational framework for a broad class of NMF algorithms that iteratively solves alternating non-negative least squares (NLS) subproblems for <inline-formula> <tex-math notation="LaTeX"> $\mathbf {W} $</tex-math> <alternatives> <inline-graphic xlink: href="kannan-ieq5-2767592.gif"/> </alternatives> </inline-formula> and <inline-formula> <tex-math notation="LaTeX"> $\mathbf {H} $</tex-math> <alternatives> <inline-graphic xlink: href="kannan-ieq6-2767592.gif"/> </alternatives> </inline-formula>.	9.937848517438397e-05	Low	Semantic Scholar
It maintains the data and factor matrices in memory (distributed across processors), uses MPI for interprocessor communication, and, in the dense case, provably minimizes communication costs (under mild assumptions).	0.0006177102332003415	Low	Semantic Scholar
Dynamical responses (such as synchronization suppression and enhancement) to these two cases of stimuli are studied and discussed in relation to the betweenness centralities of stimulated interneurons, representing the effectiveness for transfer of stimulation effect in the whole network.	0.0006478627328760922	Low	Semantic Scholar
PURPOSE The organization of neural networks and the mechanisms, which generate the highly stereotypical for absence epilepsy spike-wave discharges (SWDs) is heavily debated.	0.00014786087558604777	Low	Semantic Scholar
RESULTS The model reproduces the main features of the transition from normal to epileptiformic activity and its spontaneous abortion: an increase in the oscillation amplitude, the emergence of the main frequency and its higher harmonics, and the ability to generate trains of seizures.	0.0033057043328881264	Low	Semantic Scholar
