text	confidence_value	confidence_level
However, the corresponding mechanisms are not yet fully understood and require further investigation.	0.0057371836155653	Low	Semantic Scholar
Allowing systematic parameter studies, computational modeling provides the opportunity to examine the underlying effects that influence extracellular potentials.	0.005674611311405897	Low	Semantic Scholar
In this letter, we present an in silico single cell model to analyze the effect of geometrical variability on the extracellular electric potentials.	0.0013763587921857834	Low	Semantic Scholar
We describe finite element models of a single neuron with varying geometric complexity in three-dimensional space.	0.001743172062560916	Low	Semantic Scholar
The electric potential generation of the neuron is modeled using Hodgkin-Huxley equations.	0.001301962067373097	Low	Semantic Scholar
The signal propagation is described with electro-quasi-static equations, and results are compared with corresponding cable equation descriptions.	0.0038640517741441727	Low	Semantic Scholar
This paper depicts the structural design of a novel water-jet-based spherical underwater robot.	0.0012066137278452516	Low	Semantic Scholar
The propulsion system is made up of four water-jet thrusters and 8 steering servo motors which can adjust the polydirectional shift of thrusters nozzle to achieve 4-degrees-of-freedom (4-DOF) motion.	0.005836749915033579	Low	Semantic Scholar
Every two thrusters nozzles formed an angle of 90 degree in one plane.	0.0008610035292804241	Low	Semantic Scholar
The primary side whose core is TMS320f28335 processor was employed for the data collection and disposing calculation.	0.004607616923749447	Low	Semantic Scholar
The Micron Data Modem is integrated into the electrical design, which can realize the data transmission and communication between multi-SURs in future.	0.004423270467668772	Low	Semantic Scholar
A FSMC controller was employed to control the direction of the vectored water-jet thrusters for underwater motion.	0.0007976377964951098	Low	Semantic Scholar
The experimental results demonstrated that the novel spherical underwater robot could realize underwater motion rapidly and accurately.	0.0049330019392073154	Low	Semantic Scholar
The performance of the novel SUR is more nimbler and flexible than the previous SUR-II we developed.	0.0042509157210588455	Low	Semantic Scholar
This letter combines Bayesian task prioritization with probabilistic movement primitives (ProMPs) to prioritize full motion sequences that are learned from demonstrations.	0.004982387647032738	Low	Semantic Scholar
The probabilistic formulation allows for a natural application of Bayesian task prioritization.	0.005013620480895042	Low	Semantic Scholar
We demonstrate how the task priorities can be obtained from imitation learning and how different primitives can be combined to solve even unseen task-combinations.	0.005136812571436167	Low	Semantic Scholar
Due to the prioritization, our approach can efficiently learn a combination of tasks without requiring individual models per task combination.	0.002572066383436322	Low	Semantic Scholar
Moreover, we prove that our method is probabilistically complete.	0.0008110895869322121	Low	Semantic Scholar
This tool will support decision makers in determining the impact of introducing new (circular) business models.	0.0018996738363057375	Low	Semantic Scholar
Networked observational devices have proliferated in recent years, contributing to voluminous data streams from a variety of sources and problem domains.	0.005502110347151756	Low	Semantic Scholar
These streams often have a spatiotemporal component and include multidimensional features of interest.	0.003236027667298913	Low	Semantic Scholar
In this study, we propose Synopsis, an online, distributed sketch that is constructed from voluminous spatiotemporal data streams.	0.004409831017255783	Low	Semantic Scholar
The sketch summarizes feature values and inter-feature relationships in memory to facilitate real-time query evaluations and to serve as input to computations expressed using analytical engines.	0.003248485503718257	Low	Semantic Scholar
As the data streams evolve, Synopsis performs targeted dynamic scaling to ensure high accuracy and effective resource utilization.	0.003657715395092964	Low	Semantic Scholar
Conventional planning algorithms often rely on a fixed virtual hitting plane to construct robot striking trajectories.	0.0033149768132716417	Low	Semantic Scholar
These algorithms, however, generate restrictive strokes and can result in unnatural strategies when compared with human playing.	0.001843735808506608	Low	Semantic Scholar
A free-time optimal control approach is used to derive two different trajectory optimizers.	0.0013674409128725529	Low	Semantic Scholar
The resulting two algorithms, Focused Player and Defensive Player, encode two different play-styles.	0.0032600658014416695	Low	Semantic Scholar
We evaluate their performance in simulation and in our robot table tennis platform with a high speed cable-driven seven DOF robot arm.	0.005626360885798931	Low	Semantic Scholar
