text	confidence_value	confidence_level
However, the corresponding mechanisms are not yet fully understood and require further investigation.	0.5368184447288513	Low	Semantic Scholar
The electric potential generation of the neuron is modeled using Hodgkin-Huxley equations.	0.046198952943086624	Low	Semantic Scholar
Our results show that both the geometric dimensions and the distribution of ion channels of a neuron are critical factors that significantly influence both the amplitude and shape of extracellular potentials.	0.24277257919311523	Low	Semantic Scholar
The propulsion system is made up of four water-jet thrusters and 8 steering servo motors which can adjust the polydirectional shift of thrusters nozzle to achieve 4-degrees-of-freedom (4-DOF) motion.	0.32636046409606934	Low	Semantic Scholar
Every two thrusters nozzles formed an angle of 90 degree in one plane.	0.005143435671925545	Low	Semantic Scholar
The primary side whose core is TMS320f28335 processor was employed for the data collection and disposing calculation.	0.3715799152851105	Low	Semantic Scholar
And made the Atmega2560 processor as the main chip of the subordinate side to control the propulsion system.	0.06358234584331512	Low	Semantic Scholar
The performance of the novel SUR is more nimbler and flexible than the previous SUR-II we developed.	0.15717044472694397	Low	Semantic Scholar
We extend the ProMP controllers with an additional feedback component that accounts inaccuracies in following the distribution and allows for a more robust prioritization of primitives.	0.638447642326355	Low	Semantic Scholar
We demonstrate how the task priorities can be obtained from imitation learning and how different primitives can be combined to solve even unseen task-combinations.	0.17238275706768036	Low	Semantic Scholar
Hence, the need of retraining the whole library is avoided in many cases.	3.571709748939611e-05	Low	Semantic Scholar
Finding a set of diverse paths among dynamic obstacles is an appealing navigation strategy for mobile robots to qualitatively reason about multiple path hypotheses to the goal.	0.2942626476287842	Low	Semantic Scholar
We introduce an efficient randomized approach, based on weighted random walks, that finds $K $diverse paths on the Voronoi diagram of the environment, where each path represents a distinct homotopy class.	0.4114275276660919	Low	Semantic Scholar
Moreover, we prove that our method is probabilistically complete.	0.3403169512748718	Low	Semantic Scholar
This paper introduces an agent-based approach to study customer behavior in terms of their acceptance of new business models in Circular Economy (CE) context.	0.03028269112110138	Low	Semantic Scholar
In a CE customers are perceived as integral part of the business and therefore customer acceptance of new business models becomes crucial as it determines the successful implementation of CE.	0.016292724758386612	Low	Semantic Scholar
This tool will support decision makers in determining the impact of introducing new (circular) business models.	0.00394059345126152	Low	Semantic Scholar
This research presents the first agent-based tool that can assess customer behavior and determine whether introduction of new business models will be accepted or not and how customer acceptance can be influenced to accelerate CE implementation.	0.15438604354858398	Low	Semantic Scholar
These streams often have a spatiotemporal component and include multidimensional features of interest.	0.31935879588127136	Low	Semantic Scholar
In this study, we propose Synopsis, an online, distributed sketch that is constructed from voluminous spatiotemporal data streams.	0.38496801257133484	Low	Semantic Scholar
We evaluate our system in the context of two real-world spatiotemporal datasets and demonstrate its efficacy in both scalability and query evaluations.	0.2052004188299179	Low	Semantic Scholar
In highly dynamic tasks that involve moving targets, planning is necessary to figure out when, where and how to intercept the target.	0.6173433661460876	Low	Semantic Scholar
In robotic table tennis in particular, motion planning can be very challenging due to time constraints, dimension of the search space and joint limits.	0.5693512558937073	Low	Semantic Scholar
Moreover, both can be run online and the trajectories can be corrected with new ball observations.	0.005909021012485027	Low	Semantic Scholar
© 2018 The Authors.	0.01720057800412178	Low	Semantic Scholar
This is an open access article under the CC BY-NC-ND license (http: //creativecommons.org/licenses/by-nc-nd/4.0/).	0.0006080884486436844	Low	Semantic Scholar
Between 1985 and 2015 the focus has changed from the classical approach to a heuristic approach.	0.14964281022548676	Low	Semantic Scholar
Classification of the RMP literature on the basis of the techniques and their performance has been attempted.	0.06411531567573547	Low	Semantic Scholar
However, the traditional unidirectional or bidirectional catheter with the compliant bending shapes cannot provide great orientation capability to target the lesion paths asymmetric to the catheter's entry point.	0.05218505859375	Low	Semantic Scholar
The contact-aided compliant mechanism is adopted by designing the asymmetric blocks to form the self-collision in one lateral bending direction.	0.13751649856567383	Low	Semantic Scholar
Kinematics with asymmetric bends under the free bend and constraint bend are investigated.	0.002988311927765608	Low	Semantic Scholar
