text	confidence_value	confidence_level
A bilayer structure was adopted for the control system to obtain data from various sensors, meanwhile control the outputs of ports after calculation processing.	0.0014373507583513856	Low	Semantic Scholar
The primary side whose core is TMS320f28335 processor was employed for the data collection and disposing calculation.	0.001101769506931305	Low	Semantic Scholar
The Micron Data Modem is integrated into the electrical design, which can realize the data transmission and communication between multi-SURs in future.	0.004824663978070021	Low	Semantic Scholar
Movement prioritization is a common approach to combine controllers of different tasks for redundant robots, where each task is assigned a priority.	0.0016842354089021683	Low	Semantic Scholar
ProMPs can encode distributions of movements over full motion sequences and provide control laws to exactly follow these distributions.	0.0059941611252725124	Low	Semantic Scholar
Due to the prioritization, our approach can efficiently learn a combination of tasks without requiring individual models per task combination.	0.0024758195504546165	Low	Semantic Scholar
Furthermore, our approach can adapt an existing primitive library by prioritizing additional controllers, for example, for implementing obstacle avoidance.	0.0025154517497867346	Low	Semantic Scholar
However, tools or methods are missing to capture customer behavior to assess how customers will react if an organization introduces a new business model such as leasing or functional sales.	0.0016498106997460127	Low	Semantic Scholar
The purpose of this research is to bring forward a quantitative analysis tool for identifying proper marketing and pricing strategies to obtain best fit demand behavior for the chosen new business model.	0.0007235162192955613	Low	Semantic Scholar
This tool will support decision makers in determining the impact of introducing new (circular) business models.	0.0007186445291154087	Low	Semantic Scholar
The model has been developed using an agent-based modeling approach which delivers results based on socio-demographic factors of a population and customers ’ relative preferences of product attributes price, environmental friendliness and service-orientation.	0.002935401163995266	Low	Semantic Scholar
The implementation of the model has been tested using the practical business example of a washing machine.	0.0014350505080074072	Low	Semantic Scholar
The tool integrates socio-demographic factors, product utility functions, social network structures and inter-agent communication in order to comprehensively describe behavior on individual customer level.	0.0016562279779464006	Low	Semantic Scholar
Networked observational devices have proliferated in recent years, contributing to voluminous data streams from a variety of sources and problem domains.	0.0028121538925915956	Low	Semantic Scholar
In this study, we propose Synopsis, an online, distributed sketch that is constructed from voluminous spatiotemporal data streams.	0.001990302698686719	Low	Semantic Scholar
As the data streams evolve, Synopsis performs targeted dynamic scaling to ensure high accuracy and effective resource utilization.	0.0027174861170351505	Low	Semantic Scholar
In highly dynamic tasks that involve moving targets, planning is necessary to figure out when, where and how to intercept the target.	0.005460400599986315	Low	Semantic Scholar
Conventional planning algorithms often rely on a fixed virtual hitting plane to construct robot striking trajectories.	0.003891771426424384	Low	Semantic Scholar
In this paper, we introduce a new trajectory generation framework for robotic table tennis that does not involve a fixed hitting plane.	0.0034243438858538866	Low	Semantic Scholar
The algorithms return the balls with a higher probability to the opponent ’ s court when compared with a virtual hitting plane basedmethod.	0.0017234865808859468	Low	Semantic Scholar
Moreover, both can be run online and the trajectories can be corrected with new ball observations.	0.003837093710899353	Low	Semantic Scholar
This is an open access article under the CC BY-NC-ND license (http: //creativecommons.org/licenses/by-nc-nd/4.0/).	0.0001824944483814761	Low	Semantic Scholar
Other important approaches include artificial potential field based, artificial intelligence based, probabilistic based RMP and applications in areas of Agent systems and computer geometry.	0.006043571047484875	Low	Semantic Scholar
Electrical isolation using the ablation catheter has been widely used as the golden standard for the treatment of atrial fibrillation.	0.0021841353736817837	Low	Semantic Scholar
In this letter, we propose a two-dimensional (2-D) tendon-actuated asymmetric catheter to render two different bending characteristics to adapt to the special anatomy.	0.0034939541947096586	Low	Semantic Scholar
The algorithm of 3-D path exploration in the confined workspace is proposed to validate the reachability.	0.003235534066334367	Low	Semantic Scholar
The bending angles of two asymmetric bends are compared and the 3-D phantom study is carried out to validate its effectiveness.	0.0003621824143920094	Low	Semantic Scholar
It maintains the data and factor matrices in memory (distributed across processors), uses MPI for interprocessor communication, and, in the dense case, provably minimizes communication costs (under mild assumptions).	0.004413210786879063	Low	Semantic Scholar
