text	confidence_value	confidence_level
However, the corresponding mechanisms are not yet fully understood and require further investigation.	0.010236352682113647	Low	Semantic Scholar
Allowing systematic parameter studies, computational modeling provides the opportunity to examine the underlying effects that influence extracellular potentials.	0.004939147736877203	Low	Semantic Scholar
We describe finite element models of a single neuron with varying geometric complexity in three-dimensional space.	0.00444520078599453	Low	Semantic Scholar
The electric potential generation of the neuron is modeled using Hodgkin-Huxley equations.	0.0026477177161723375	Low	Semantic Scholar
The signal propagation is described with electro-quasi-static equations, and results are compared with corresponding cable equation descriptions.	0.00769170094281435	Low	Semantic Scholar
This paper depicts the structural design of a novel water-jet-based spherical underwater robot.	0.00879595149308443	Low	Semantic Scholar
Every two thrusters nozzles formed an angle of 90 degree in one plane.	0.008100091479718685	Low	Semantic Scholar
The Micron Data Modem is integrated into the electrical design, which can realize the data transmission and communication between multi-SURs in future.	0.015640314668416977	Low	Semantic Scholar
The performance of the novel SUR is more nimbler and flexible than the previous SUR-II we developed.	0.009865433908998966	Low	Semantic Scholar
Movement prioritization is a common approach to combine controllers of different tasks for redundant robots, where each task is assigned a priority.	0.009657114744186401	Low	Semantic Scholar
The priorities of the tasks are often handtuned or the result of an optimization, but seldomly learned from data.	0.0039299363270401955	Low	Semantic Scholar
This letter combines Bayesian task prioritization with probabilistic movement primitives (ProMPs) to prioritize full motion sequences that are learned from demonstrations.	0.014661354012787342	Low	Semantic Scholar
The probabilistic formulation allows for a natural application of Bayesian task prioritization.	0.0006937108701094985	Low	Semantic Scholar
We demonstrate how the task priorities can be obtained from imitation learning and how different primitives can be combined to solve even unseen task-combinations.	0.019597187638282776	Low	Semantic Scholar
Due to the prioritization, our approach can efficiently learn a combination of tasks without requiring individual models per task combination.	0.0038612738717347383	Low	Semantic Scholar
Furthermore, our approach can adapt an existing primitive library by prioritizing additional controllers, for example, for implementing obstacle avoidance.	0.011693819426000118	Low	Semantic Scholar
We evaluate our approach on reaching movements under constraints with redundant simulated planar robots and two physical robot platforms, the humanoid robot “ iCub ” and a KUKA LWR robot arm.	0.018872587010264397	Low	Semantic Scholar
Moreover, we prove that our method is probabilistically complete.	0.0015511364908888936	Low	Semantic Scholar
Recent advances in algorithms that take advantages of modern computing hardware introduced the concept of high resolution SOMs (HRSOMs).	0.015459567308425903	Low	Semantic Scholar
It is found that the visualization resulted from an HRSOM provides new insights concerning these learning problems.	0.01571434736251831	Low	Semantic Scholar
These streams often have a spatiotemporal component and include multidimensional features of interest.	0.014620003290474415	Low	Semantic Scholar
In this study, we propose Synopsis, an online, distributed sketch that is constructed from voluminous spatiotemporal data streams.	0.008492270484566689	Low	Semantic Scholar
As the data streams evolve, Synopsis performs targeted dynamic scaling to ensure high accuracy and effective resource utilization.	0.0027497434057295322	Low	Semantic Scholar
Conventional planning algorithms often rely on a fixed virtual hitting plane to construct robot striking trajectories.	0.0009918082505464554	Low	Semantic Scholar
These algorithms, however, generate restrictive strokes and can result in unnatural strategies when compared with human playing.	0.013293668627738953	Low	Semantic Scholar
In this paper, we introduce a new trajectory generation framework for robotic table tennis that does not involve a fixed hitting plane.	0.012098710052669048	Low	Semantic Scholar
A free-time optimal control approach is used to derive two different trajectory optimizers.	0.0011022809194400907	Low	Semantic Scholar
The resulting two algorithms, Focused Player and Defensive Player, encode two different play-styles.	0.0015333563787862659	Low	Semantic Scholar
We evaluate their performance in simulation and in our robot table tennis platform with a high speed cable-driven seven DOF robot arm.	0.0100677739828825	Low	Semantic Scholar
Moreover, both can be run online and the trajectories can be corrected with new ball observations.	0.010041697882115841	Low	Semantic Scholar
Published by Elsevier B.V.	0.01572520099580288	Low	Semantic Scholar
This paper is a critical review of the major contributions to RMP in dynamic environments.	0.009512213990092278	Low	Semantic Scholar
Between 1985 and 2015 the focus has changed from the classical approach to a heuristic approach.	0.01091781072318554	Low	Semantic Scholar
Keywords—Robot motion planning, Dynamic Environments, Collision Avoidance.	0.008191329427063465	Low	Semantic Scholar
Clinical practice shows that the tip orientation affects the formation of the effective lesion size.	0.019537927582859993	Low	Semantic Scholar
Kinematics with asymmetric bends under the free bend and constraint bend are investigated.	0.003189711831510067	Low	Semantic Scholar
The algorithm of 3-D path exploration in the confined workspace is proposed to validate the reachability.	0.010426315478980541	Low	Semantic Scholar
