sentence	provenance
fourth industrial revolution for the earth seriesharnessing artificial intelligence for the earthin collaboration with pwc and stanford woods institute for the environmentjanuary harnessing artificial intelligence for the earth is published by the world economic forum system initiative on shaping the future of environment and natural resource security in partnership with pwc and the stanford woods institute for the environment.	pdfgreen
it was made possible with funding from the mava foundation.about the fourth industrial revolution for the earth series the fourth industrial revolution for the earth is a publication series highlighting opportunities to solve the world s most pressing environmental challenges by harnessing technological innovations supported by new and effective approaches to governance financing and multistakeholder collaboration.	pdfgreen
about the world economic forum the world economic forum committed to improving the state of the world is the international organization for public private cooperation.	pdfgreen
the forum engages the foremost business political and other leaders of society to shape global regional and industry agendas.	pdfgreen
for example climate change unsafe levels of air pollution the depletion of fishing stocks toxins in rivers and soils overflowing levels of waste on land and in the ocean loss of biodiversity and deforestation can all be traced to industrialization.	pdfgreen
as the fourth industrial revolution gathers pace innovations are becoming faster more efficient and more widely accessible than before.	pdfgreen
technology is also becoming increasingly connected in particular we are seeing a merging of digital physical and biological realms.	pdfgreen
new technologies are enabling societal shifts by having an effect on economics values identities and possibilities for future generations.	pdfgreen
we have a unique opportunity to harness this fourth industrial revolution and the societal shifts it triggers to help address environmental issues and redesign how we manage our shared global environment.	pdfgreen
the fourth industrial revolution could however also exacerbate existing threats to environmental security or create entirely new risks that will need to be considered and managed.	pdfgreen
harnessing these opportunities and proactively managing these risks will require a transformation of the enabling environment  namely the governance frameworks and policy protocols investment and financing models the prevailing incentives for technology development and the nature of societal engagement.	pdfgreen
this transformation will not happen automatically.	pdfgreen
it will require proactive collaboration between policymakers scientists civil society technology champions and investors.	pdfgreen
if we get it right it could create a sustainability revolution.	pdfgreen
this fourth industrial revolution for the earth series is designed to illustrate the potential of fourth industrial revolution innovations and their application to the world s most pressing environmental challenges.	pdfgreen
it offers insights into the emerging opportunities and risks and highlights the roles various actors could play to ensure these technologies are harnessed and scaled effectively.	pdfgreen
it is not intended to be conclusive but rather to stimulate a discussion between diverse stakeholders to provide a foundation for further collaborative work.	pdfgreen
this paper looks at artificial intelligence and the earth.harnessing artificial intelligence for the earththe proliferation of artificial intelligence ai is having a significant impact on society changing the way we work live and interact.	pdfgreen
ai today is helping the world diagnose diseases and develop clinical pathways.	pdfgreen
it is also being used to adapt lesson plans for students with different learning needs.	pdfgreen
elsewhere ai is matching individuals skill sets and aptitudes with job openings.	pdfgreen
however as ai acts increasingly more autonomously and becomes broader in its use ai safety will become even more important.	pdfgreen
commonly discussed risks include bias poor decision making low transparency job losses and malevolent use of ai e.g.	pdfgreen
developing approaches to guide human friendly ai is arguably one of the biggest unsolved ai problems today.	pdfgreen
as the scale of the economic and human health impacts from our deteriorating natural environment grows it is becoming increasingly important to extend the rapidly growing field of ai safety to incorporate earth friendly ai.	pdfgreen
as the technology evolves its direct and indirect applications for the environment will need to be better understood in order to harness the opportunities while assessing the potential risks and developing approaches for mitigating them.	pdfgreen
for example ai could be developed to support the creation of distributed off grid water and energy resources to improve climate modelling or to improve natural disaster resilience planning.	pdfgreen
