sentence	provenance
module introduction to the green economy approach p a g e module introduction to the green economy approach overview of module module presents an introduction to the green economy.	pdf_green
it describes some of the international discussions that have given rise to the term and discusses varying definitions.	pdf_green
this module presents a rationale for moving toward a green economy by describing current prevailing conditions which are not meeting the environmental economic and social goals of sustainable development.	pdf_green
the module examines the drivers and opportunities for change in the caribbean that have led towards embracing a green economy approach and identifies some challenges to do so.	pdf_green
this module also describes linkages between the natural environment and major economic sectors to provide a basis for understanding some of the necessary changes that must be made.	pdf_green
unep defines a green economy as one that results in improved human well being and social equity while significantly reducing environmental risks and ecological scarcities.	pdf_green
the concept of a green economy has its origins in discussions around environment and development that led to the discussion and promotion of the term sustainable development at the united nations conference on environment and development unced in rio de janeiro known also as the rio summit or earth summit.	pdf_green
the term was revived and entered the international development discourse following the global financial crisis of  as national governments and international organizations grappled with ways to reboot the economy in a more sustainable way.	pdf_green
several countries launched green stimulus programmes which were essentially public sector incentive packages for private investment in green energy sources and technologies.	pdf_green
unep was an early champion launching its ge initiative in october. the ge concept has also resonated in climate change mitigation discussions and it has become an important theme in the united nations framework convention on climate change unfccc negotiations.	pdf_green
the concept of a green economy is related to the ideas of green growth and low carbon development as shown in the table below.	pdf_green
it focuses on the synergies and tradeoffs between the environmental and economic pillars of sustainable development green growth knowledge platform low carbon development strategies are forward looking national economic development plans or strategies that encompass low emission and or climate resilient economic growth oecd the concept of a green economy supports and does not replace sustainable development.	pdf_green
but this new focus responds to two recent developments there is a deeper appreciation today by many governments companies civil society and the public that we are reaching planetary limits not just in terms of greenhouse gas emissions but also in our use of water land forests and other natural resources.	pdf_green
the environmental and social costs of our current economic model are becoming more and more apparent.	pdf_green
the global recession has led to a reconsideration of key tenets of the current economic model and adoption by a number of countries of programmes to promote green energy sources and to develop new markets and industries that can create good long term jobs the promotion of a green economy was a key theme at the rio conference held in june to mark the th anniversary of the rio summit.	pdf_green
governments agreed at rio to frame the green economy as an important tool for sustainable development one that is inclusive and can drive economic growth employment and poverty eradication whilst maintaining the healthy functioning of the earth s ecosystems.	pdf_green
principles of a green economy while definitions are useful for interpretation of the green economy concept there has been an attempt to move beyond simple definitions of the green economy to define a set of guiding principles.	pdf_green
these principles help to guide practitioners in the application of the green economy concept.	pdf_green
 http sustainabledevelopment.un.org index.php menu  p a g e a number of sets of green economy principles were published by a variety of organizations in the lead up to rio. an analysis of eight sets of principles was conducted by the united nations division for sustainable development that year undesa .	pdf_green
it found that there is a considerable diversity of principles that have been proposed to enhance interpretation and application of the green economy.	pdf_green
however there is also considerable synergy amongst the different sets of principles.	pdf_green
the list of the most common green economy principles identified in the review are shown below.	pdf_green
. the green economy is a means for achieving sustainable development.	pdf_green
the green economy should create decent work and green jobs.	pdf_green
the green economy is resource and energy efficient.	pdf_green
the green economy respects planetary boundaries or ecological limits or scarcity.	pdf_green
the green economy uses integrated decision making.	pdf_green
the green economy measures progress beyond gdp using appropriate indicators metrics.	pdf_green
the green economy is equitable fair and just between and within countries and between generations.	pdf_green
the green economy protects biodiversity and ecosystems.	pdf_green
the green economy delivers poverty reduction well being livelihoods social protection and access to essential services.	pdf_green
. the green economy improves governance and the rule of law.	pdf_green
it is inclusive democratic participatory accountable transparent and stable.	pdf_green
. the green economy internalizes externalities.	pdf_green
 p a g e the green economy in the caribbean context green economy discussions in the caribbean the caribbean has embraced elements of a green economy for some time through regional initiatives focusing on issues such as climate change renewable energy and sustainable recently national policies have been developed in several caribbean countries as leaders and decision makers support sustainable development sustainable energy and climate resilience.	pdf_green
unep s ge initiative gei launched in late with an overall objective to provide the analysis and policy support for investing in green sectors and in greening environmental unfriendly sectors.	pdf_green
regional dialogue in  facilitated by canari to elicit ideas from a wide cross section of caribbean stakeholders on what green economy means in the caribbean context canari .	pdf_green
the aim of this initiative was to facilitate the emergence of the caribbean s own unique development pathway and international understanding and action.	pdf_green
institute inform to p a g e regional initiatives caribbean ge action learning group ge alg  established in  which was charged with identifying and promoting ways in which a a caribbean green economy can advance sustainable development in the caribbean.	pdf_green
green economy caribbean political advisory group gepag formed in and charged with undertaking research outreach and capacity building in the public and private sectors in key areas that are needed to support different steps of a green economy transition.	pdf_green
national initiatives jamaica guyana dominica vision  national development plan low carbon development strategy organic development policy a low carbon climate resilient development strategy valuation of ecosystem services into national accounting alternative growth and poverty reduction strategy national ge scoping study with the support of the university of the west indies and unep s ge initiative gei.	pdf_green
trinidad tobago grenada barbados group exercise and discussion describe any plans or programmes in your country related to moving toward a green economy highlighting the aspects that promote a green economy.	pdf_green
rationale for transitioning to a green economy in the caribbean major issues in the caribbean a green economy approach is expected to address the major problems affecting caribbean countries and lead toward sustainable development with its triple goals of economic social and environmental welfare in the region.	pdf_green
poverty and social inequality per capita income ranges widely from us  in trinidad and tobago to only us in haiti canari .	pdf_green
many countries are classified as middle income  but with wide and growing economic disparities.	pdf_green
for example st. vincent and the grenadines saint lucia and jamaica are all estimated to have poverty rates of around per cent.	pdf_green
levels of poverty and near poverty have increased with the current economic crisis with declining educational performance also contributing to rapidly increasing rates of unemployment.	pdf_green
poverty is often linked to issues of social inequality.	pdf_green
the region has a large percentage of female headed households many below or close to the poverty line.	pdf_green
underproductive domestic sectors and dependence on volatile external markets have contributed to the persistence of poverty in the region.	pdf_green
