text	convention	data_provenance	confidence_value	confidence_level
a guidebook to the green economy issue green economy green growth and low carbon development history de nitions and a guide to recent publicationsdivision for sustainable development undesa this document was prepared by cameron allen and stuart clouth un division for sustainable development august.	green	pdf	0	Not_from_Model
these have been intensified by recent prolonged global energy food and financial crises and underscored by continued warnings from global scientists that society is in danger of transgressing a number of planetary boundaries or ecological limits.	green	pdf	0	Not_from_Model
with governments today seeking effective ways to lead their nations out of these related crises whilst also taking into account these ecological limits green economy in its various forms has been proposed as a means for catalysing renewed national policy development and international cooperation and support for sustainable development.	green	pdf	0	Not_from_Model
the concept has received significant international attention over the past few years as a tool to address the financial crisis as well as one of two themes for the un conference on sustainable development rio.	green	pdf	0	Not_from_Model
this has resulted in a rapidly expanding literature including new publications on green economy from a variety of influential international organisations national governments think tanks experts non government organisations and others.	green	pdf	0	Not_from_Model
despite the growing international interest in green economy negotiations among member states on the concept in the lead up to rio were challenging.	green	pdf	0	Not_from_Model
this was partly due to the lack of an internationally agreed definition or universal principles for green economy the emergence of interrelated but different terminology and concepts over recent years such as green growth low carbon development sustainable economy steady state economy etc.	green	pdf	0	Not_from_Model
 a lack of clarity around what green economy policy measures encompass and how they integrate with national priorities and objectives relating to economic growth and poverty eradication as well as a perceived lack of experience in designing implementing and reviewing the costs and benefits of green economy policies.	green	pdf	0	Not_from_Model
importantly there is also emerging practice in the design and implementation of national green economy strategies by both developed and developing countries across most cf.	green	pdf	0	Not_from_Model
state of the planet declaration  planet under pressure   march london which refers to humanity s impact on the earth system and to researchers first steps to identify planetary and regional thresholds and boundaries that if crossed could generate unacceptable environmental and social change para.	green	pdf	0	Not_from_Model
see also rockstrom et al a safe operating space for humanity  nature  september  http www.nature.com nature journal v n full a.html.	green	pdf	0	Not_from_Model
 united nations. a guide to the green economy regions including africa latin america the asia pacific and europe.	green	pdf	0	Not_from_Model
this emerging practice can help to provide some important insights and much needed clarity regarding the types of green economy policy measures their scope with regard to various sectors and national priorities and their institutional barriers risks and implementation costs as well as environmental social and economic benefits.	green	pdf	0	Not_from_Model
this international experience may serve to alleviate concerns regarding the effective integration of green economy policies with national economic and social priorities and objectives including the achievement of internationally agreed development goals.	green	pdf	0	Not_from_Model
this document aims to provide an overview of recent literature on green economy and the related concepts of green growth and low carbon development and other variations such as low emissions development or low carbon growth.	green	pdf	0	Not_from_Model
the overview provides a brief history of these concepts and brings together recent publications from international organisations think tanks experts political groups governments non government organisations and others most of which are freely available on the internet.	green	pdf	0	Not_from_Model
recent national green economy green growth and low carbon development strategies are also provided.	green	pdf	0	Not_from_Model
in most cases a web link and citation have been provided so that the reader can find out more information or reference the document as necessary.	green	pdf	0	Not_from_Model
. related concepts green economy green growth and low carbon development whilst the concept of green economy has only recently gained significant international attention green economy policies have been discussed and analysed for some decades by economists and academics particularly in the fields of environmental and ecological economics.	green	pdf	0	Not_from_Model
green economy policy measures have also been discussed at length in international negotiations including unced in rio in. for example the rio declaration included principles promoting the internalisation of environmental costs and the use of economic instruments principle as well as eliminating unsustainable consumption and production principle.	green	pdf	0	Not_from_Model
agenda further elaborated on these principles and called for the development of national strategies for sustainable development incorporating measures for integrating environment and development providing effective legal and regulatory frameworks making effective use of economic instruments and market and other incentives and establishing systems for integrated environmental and economic accounting chapter.	green	pdf	0	Not_from_Model
ten years later the johannesburg plan of implementation jpoi also identified the need to change the way societies produce and consume and called for the development of a year framework of programmes for sustainable consumption and production.	green	pdf	0	Not_from_Model
the first marrakech june and the second san jose september international expert meetings emphasised the need to promote social and economic development within the carrying capacity of the environment de link economic growth and environmental degradation through improving efficiency and sustainability in the use of resources and production processes and reduce resource degradation pollution and waste.	green	pdf	0	Not_from_Model
 see http www.greengrowth.org united nations. a guide to the green economy the rio conference in also produced the un framework convention on climate change unfccc  which has involved prolonged debate regarding potential economic regulatory and market based measures to address climate change through low carbon development.	green	pdf	0	Not_from_Model
in recent negotiations under this convention it has been agreed that low emission development strategies leds that adopt appropriate policy measures for low carbon development are indispensible for achieving sustainable development.	green	pdf	0	Not_from_Model
this section provides a brief overview of the recent history of three interrelated concepts that have gained significant attention in recent years in the context of catalysing efforts to achieve sustainable development green economy green growth and low carbon development.	green	pdf	0	Not_from_Model
it is acknowledged that this is not a finite list of approaches models or tools proposed for achieving sustainable development but rather is a subset of approaches that have gained prominence in recent years in the context of international negotiations and amongst influential international organisations.	green	pdf	0	Not_from_Model
sections  and below provide a brief history of each of the concepts and recent definitions as well as a summary of recent publications and national strategies that are available online.	green	pdf	0	Not_from_Model
this list is not exhaustive and with new publications being released every other day it is intended that this guidebook be a working document that will be regularly updated.	green	pdf	0	Not_from_Model
section provides a brief critique of these concepts.	green	pdf	0	Not_from_Model
. green economy the term green economy was first coined in a pioneering report for the government of the united kingdom by a group of leading environmental economists entitled blueprint for a green economy pearce markandya and barbier .	green	pdf	0	Not_from_Model
the report was commissioned to advise the uk government if there was a consensus definition to the term sustainable development and the implications of sustainable development for the measurement of economic progress and the appraisal of projects and policies.	green	pdf	0	Not_from_Model
apart from in the title of the report there is no further reference to green economy and it appears that the term was used as an afterthought by the authors.	green	pdf	0	Not_from_Model
in and the authors released sequels to the first report entitled blueprint greening the world economy and blueprint measuring sustainable development.	green	pdf	0	Not_from_Model
whilst the theme of the first blueprint report was that economics can and should come to the aid of environmental policy the sequels extended this message to global problems climate change ozone depletion tropical deforestation and resource loss in the developing world.	green	pdf	0	Not_from_Model
all reports built upon research and practice in environmental economics spanning back several decades.	green	pdf	0	Not_from_Model
in  the term was revived in the context of discussions on the policy response to multiple global crises.	green	pdf	0	Not_from_Model
in the context of the financial crisis and concerns of a global recession unep championed the idea of green stimulus packages and identified specific areas where large scale public investment could kick start a green economy atkisson .	green	pdf	0	Not_from_Model
it inspired several governments to implement significant green stimulus packages as part of their economic recovery efforts.	green	pdf	0	Not_from_Model
 the report interprets sustainable development as non declining human welfare over time that is a development path that makes people better off today but makes people tomorrow have a lower standard of living is not sustainable.	green	pdf	0	Not_from_Model
 united nations. a guide to the green economy in october  unep launched its green economy initiative to provide analysis and policy support for investment in green sectors and for greening resource and or pollution intensive sectors.	green	pdf	0	Not_from_Model
as part of this initiative unep commissioned one of the original authors of blueprint for a green economy to prepare a report entitled a global green new deal ggnd  which was released in april and proposed a mix of policy actions that would stimulate economic recovery and at the same time improve the sustainability of the world economy.	green	pdf	0	Not_from_Model
the ggnd called on governments to allocate a significant share of stimulus funding to green sectors and set out three objectives i economic recovery ii poverty eradication and iii reduced carbon emissions and ecosystem degradation it also proposed a framework for green stimulus programs as well as supportive domestic and international policies unemg .	green	pdf	0	Not_from_Model
in june  in the lead up to the un climate change conference in copenhagen the un released an interagency statement supporting the green economy as a transformation to address multiple crises.	green	pdf	0	Not_from_Model
the statement included the hope that the economic recovery would be the turning point for an ambitious and effective international response to the multiple crises facing humanity based on a global green economy.	green	pdf	0	Not_from_Model
in february  ministers and heads of delegation of the unep global ministerial environment forum in nusa dua acknowledged in their declaration that the green economy concept can significantly address current challenges and deliver economic development opportunities and multiple benefits for all nations.	green	pdf	0	Not_from_Model
it also acknowledged unep s leading role in further defining and promoting the concept and encouraged unep to contribute to this work through the preparatory process for the un conference on sustainable development in rio.	green	pdf	0	Not_from_Model
in march  the general assembly agreed that green economy in the context of sustainable development and poverty eradication would form one of the two specific themes for rio resolution .	green	pdf	0	Not_from_Model
this led to a great deal of international attention on green economy and related concepts and the publication of numerous reports and other literature aiming to further define and demystify the concept.	green	pdf	0	Not_from_Model
one of the key reports was the flagship green economy report released by unep in november under its green economy initiative.	green	pdf	0	Not_from_Model
unep partnered with think tanks and commercial actors including deutsche bank  lending credibility to its economic analyses atkisson .	green	pdf	0	Not_from_Model
importantly the report also provides a working definition of green economy which has since been cited in numerous other publications.	green	pdf	0	Not_from_Model
a series of other publications by unep unctad undesa and the uncsd secretariat have attempted to elaborate on the concept and outline guiding principles benefits risks and emerging international experience.	green	pdf	0	Not_from_Model
in december  the un environment management group a system wide coordination body of over specialized agencies programmes and organs of the united nations also released its system wide perspective on green economy working towards a balanced and inclusive green economy which identifies and clarifies the use of green economy http www.unep.ch etb pdf statement deliver as one interagency joint statement.	green	pdf	0	Not_from_Model
e rev.pdf for example see unep unctad undesa transition to a green economy benefits challenges and risks from a sustainable development perspective un july unctad s road to rio series of publications unep unctad un ohrlls why a green economy matters for the least developed countries and papers prepared by uncsd secretariat for the rio conference including a conf. pc and a conf. pc.	green	pdf	0	Not_from_Model
 united nations. a guide to the green economy and other related terms.	green	pdf	0	Not_from_Model
this report adopts the definition provided by unep in its green economy report.	green	pdf	0	Not_from_Model
a number of non government organizations and partnerships have also developed in recent years which aim to promote green economy as a concept and undertake research analysis and outreach.	green	pdf	0	Not_from_Model
there is no internationally agreed definition of green economy and at least eight separate definitions were identified in recent publications see appendix.	green	pdf	0	Not_from_Model
for example unep has defined the green economy as one that results in improved human well being and social equity while significantly reducing environmental risks and ecological scarcities.	green	pdf	0	Not_from_Model
