sentence	provenance
We address the task of recognizing the category of an ongoing human action from a video stream.	Semantic Scholar
This task is challenging because of the need to output categorization decisions based on partial evidence—the action has not finished and not all information about the action has been observed.	Semantic Scholar
This task is further complicated because the ongoing action is submerged in the stream of data and the start of the action is not given.	Semantic Scholar
Existing methods for early recognition usually ignore this issue, making unrealistic assumption about the availability of the starting point of the ongoing action.	Semantic Scholar
In this paper, we prove the importance of starting point detection and subsequently propose a method to determine the start of an ongoing action.	Semantic Scholar
Our method is based on a bidirectional recurrent neural network that computes the probability of a frame to be the starting point by comparing the dynamics of the actions before and after the frame.	Semantic Scholar
Experiments on three datasets show that our method can reliably detect the starting point of an ongoing action, improving the early recognition accuracy.	Semantic Scholar
c © 2018 Elsevier Ltd. All rights reserved.	Semantic Scholar
Navigation systems have been widely used in outdoor environments, but indoor navigation systems are still in early development stages.	Semantic Scholar
In this paper, we introduced an augmented-reality-based indoor navigation application to assist people navigate in indoor environments.	Semantic Scholar
The application can be implemented on electronic devices such as a smartphone or a head-mounted device.	Semantic Scholar
In particular, we examined Google Glass as a wearable head-mounted device in comparison with handheld navigation aids including a smartphone and a paper map.	Semantic Scholar
We conducted both a technical assessment study and a human factors study.	Semantic Scholar
The technical assessment established the feasibility and reliability of the system.	Semantic Scholar
The human factors study evaluated human-machine system performance measures including perceived accuracy, navigation time, subjective comfort, subjective workload, and route memory retention.	Semantic Scholar
The results showed that the wearable device was perceived to be more accurate, but other performance and workload results indicated that the wearable device was not significantly different from the handheld smartphone.	Semantic Scholar
We also found that both digital navigation aids were better than the paper map in terms of shorter navigation time and lower workload, but digital navigation aids resulted in worse route retention.	Semantic Scholar
These results could provide empirical evidence supporting future designs of indoor navigation systems.	Semantic Scholar
Implications and future research were also discussed.	Semantic Scholar
Motion cueing algorithms are used in motion simulation to map the inertial vehicle motion onto the limited simulator motion space.	Semantic Scholar
This mapping causes mismatches between the unrestricted visual motion and the constrained inertial motion, which results in perceived motion incongruence (PMI).	Semantic Scholar
It is still largely unknown what exactly causes visual and inertial motion in a simulator to be perceived as incongruent.	Semantic Scholar
Current methods for measuring motion incongruence during motion simulation result in time-invariant measures of the overall incongruence, which makes it difficult to determine the relevance of the individual and short-duration mismatches between visual and inertial motion cues.	Semantic Scholar
In this paper, a novel method is presented to subjectively measure the time-varying PMI continuously throughout a simulation.	Semantic Scholar
The method is analyzed for reliability and validity of its measurements, as well as for its applicability in relating physical short-duration cueing errors to PMI.	Semantic Scholar
The analysis shows that the method is reliable and that the results can be used to obtain a deeper insight into the formation of motion incongruence during driving simulation.	Semantic Scholar
