	label	text	provenance	convention
0	1	+ This is an easter egg concerned with the community\'s feelings on this issue.	Manually_gathered	civic
1	1	Additionally you can modify SAM to integrate it with other frameworks and deployment providers from the community for building serverless applications.	Manually_gathered	civic
2	1	Chrome has the largest share of global usage and is the preferred target platform for the majority of developers.	Manually_gathered	civic
3	1	Kivy is MIT licensed actively developed by a great community and is supported	Manually_gathered	civic
4	1	Thanks to our great community we\'ve finally re added conda support.	Manually_gathered	civic
5	1	The overwhelming support by the community gave it the shape it is in right now.	Manually_gathered	civic
6	1	We\xe\x\xd like to make it easy for anyone to use the ERPNext name or logo for community oriented efforts that help spread and improve ERPNext.	Manually_gathered	civic
7	1	Whether you want learn which organizations are the big players in the web archiving space want to find a specific open source tool for your web archiving need or just want to see where archivists hang out online our Community Wiki page serves as an index of the broader web archiving community.	Manually_gathered	civic
8	1	Windows community supported	Manually_gathered	civic
9	1	a being can also be qualified as worthy if it is recognized as representative a term that in the civic world designates the way in which other beings are included and the relation of worth among beings.	Manually_gathered	civic
10	1	a community group was created they created camerakit don\'t hesitate to try it !	Manually_gathered	civic
11	1	a delegate may for example be authorized invested with specific functions that are codified in texts (such as collective conventions) that define his status acts relating to his competence and the incompatibilities that concern him: the mandate of delegate is incompatible with the mandate of administrator.	Manually_gathered	civic
12	1	a growing number of packs is available on stackstorm community.	Manually_gathered	civic
13	1	a relation of equivalence can be established among beings insofar as they all belong to a collective that includes and transcends them.	Manually_gathered	civic
14	1	additionally you can modify sam to integrate it with other frameworks and deployment providers from the community for building serverless applications.	Manually_gathered	civic
15	1	and here you can find lots of sophisticated quickstart templates shared by the community!	Manually_gathered	civic
16	1	and of course we couldn't do this without our community of	Manually_gathered	civic
17	1	ant financial joins fescar which make it to be a more neutral and open community for distributed transaction\xef\xbc\xcand fescar be rename to seata.	Manually_gathered	civic
18	1	as a community we no longer hand engineer our mapping functions and this work suggests we can achieve reasonable results without hand engineering our loss functions either.	Manually_gathered	civic
19	1	as the apache airflow community grows we\'d like to keep track of who is using	Manually_gathered	civic
20	1	be sure that you understand and are complying with the csploit licenses and laws in your area.	Manually_gathered	civic
21	1	before using any encryption software please check your country's laws regulations and policies concerning	Manually_gathered	civic
22	1	before using any encryption software please check your country's laws regulations and policies concerning the import possession or use and re export of encryption software to see if this is permitted.	Manually_gathered	civic
23	1	beings may escape from chaos in this world that means from division and thus attain worth because they are naturally political.	Manually_gathered	civic
24	1	beings when they are not strongly held together by bonds of solidarity go astray and allow themselves to be led into deviations.	Manually_gathered	civic
25	1	both sides at different times collected thousands of names on petitions and submitted them to either the local board of supervisors or the national ferc officials.	Manually_gathered	civic
26	1	broad based membership on the part of the workers is what constitutes their worth.	Manually_gathered	civic
27	1	but it is the mechanism of representation that expresses the relation of worth in this world in a specific way.	Manually_gathered	civic
28	1	but people\'s attachment to their own particular interests their selfishness and their individualism are such strong tendencies that the creation and maintenance of collectives requires a tireless struggle: a chapter cannot be created from one day to the next.	Manually_gathered	civic
29	1	but rousseau's sovereign is disembodied.	Manually_gathered	civic
30	1	but the chapter like the other collective persons of the civic world (offices committees federations confederations parties commissions) and like the moral beings that represent the collective interest (elected officials representatives delegates) can lose its worth if backsliding into the particular in the wake of a deviation it ceases to function democratically: the union chapter is not exempt from deviations and it is appropriate to control the delegates  to remain vigilant.	Manually_gathered	civic
