category	text
1	"ideas maker, curious and nature lover. "
1	"in exploring the category of "green" justifications, we contribute fresh insight into the literature on environmental discourse or rhetoric, particularly the understanding of the different conceptions of wilderness and nature in the united states and france, and of the relations of humans (and human communities) and nature. "
1	"and our analysis adds an important comparative dimension missing from most previous work on environmental rhetoric by asking what differences might exist in the content or use of "green" arguments or images in these two countries, which have different environmental histories and movements. justifications based on "green-ness" and environmentalism ["green" worth] many examples in previous sections refer to nature or the environment within an evaluation based on non-environmental justifications and principles, e.g. "
1	"other examples move to the next level: when environmental justifications, based on principles of what might be called "green-ness" (as described below), are presented for their own sake or are combined with other sorts of justifications, e.g. "
1	"when mitigations to infrastructure plans are proposed to make them more environmentally sensitive. these types of justifications     which might add a new "order of worth" to the boltanski and thevenot (1991) scheme have become more refined and widespread since the rise of the global environmental movement in the past few decades, but they also have important historical and cultural precursors. "
1	"actions or entities are worthy, with regard to this "green" justification, when they support or reflect the principles of environmentalism or "green-ness", e.g. "
1	"clean/non-polluting, renewable, recyclable, sustainable, and in harmony with nature. "
1	"justifications based on environmentalism consider the general good of humanity to be advanced through a sensitivity to environmental issues and consequences, protection of wilderness, stewardship of environmental resources, and cultivation of various attachments to nature, the land, or the wild. "
1	"strictly green arguments, beyond the level of integrating the environment into other sorts of non-green justifications, posit a unique type of dependency which assumes more than simply a spatial interaction of humanity with the natural world, but also a temporal extension of humanity by way of an implicit or explicit reference to future generations. "
1	"the green order of worth is revealed in distinctly "green" qualifications, such as the "health" of trout in the clavey river valued as something that is good for humanity, which are not considered relevant in any other order. "
1	"at a further level, some environmental evaluations depart from the political and moral requirements which are shared by all orders of worth where common humanity is the group of reference for the evaluation and propose an extension of the "community" of reference to include non-human entities (a move to "ecocentrism" rather than "anthropocentrism"). "
1	"the subsections which follow compare the expression and frequency of a number of green or environmental arguments found in the comparative survey, and explore the different modes of the relation of humans and the environment revealed by these arguments. unique and endangered perhaps the greatest similarity between the two cases is the extent and nature of arguments about the uniqueness or singularity of the natural places in dispute, and about the threat to "endangered species" (plant and animal) posed by the projects. "
1	"in the clavey case, uniqueness arguments are perhaps the most prevalent environmental justifications offered by dam opponents. "
1	"there are several senses in which the river is characterized as a unique natural place: in terms of being the "last" undammed river in the ecosystem, in terms of its specific role in local heritage and its historical importance, in terms of being a "rare" ecosystem not found elsewhere and in terms of the number of endangered species which live in the ecosystem. "
1	"the environmentalists who opposed the dam on the clavey were constantly referring to a long list they compiled of all the "officially threatened or endangered" plant and animal species, such as the rare "wild trout," found within the clavey canyon and presumably further endangered by the project.48 the other side for their part constantly tried to refute this justification, either by denying the danger to these species or proposing to mitigate for any potential harm (but never explicitly by denying the importance of protecting endangered species). "
1	"arguments in the somport controversy focus on the singularity of the aspe valley and the scarcity and uniqueness of the animals in the area. "
