category	text
1	"* view user followers, following, and organizations "
1	"*note: to scrape a private user\'s media you must be an approved follower. "
1	"It provides a high-level interface for drawing attractive statistical graphics. "
1	"    newsblur\'s followers are largely technical. "
1	"since the target audience is developers, i opted to leave some parts a little less user-friendly, such as the `settings.py` config system. "
1	"\'path\' has a very attractive menu sitting on the left bottom corner of the screen. "
1	"Chrome\'s vast user base makes it the most attractive target for threat actors and security researchers. "
1	"## audience of django-shop users "
1	"  * hall of fame of the best individuals that lived in the population "
1	"if you enjoy octoprint, please consider becoming a regular supporter!** "
1	"* 25 ready-made social badges using brand colors "
1	"The brand name ERPNext and the logo are trademarks of Frappe Technologies Pvt. "
1	"justifications based on renown and public opinion ["renown" worth] while all orders of justifications involve arguments designed to gain public support, the standard for judgment and evaluation of arguments in the other orders is not the extent of public knowledge or renown itself. "
1	"however, both cases involve attempts at gaining media attention or influencing the impressions of an audience who might not know the issues in-depth. "
1	"more significantly, both cases involve denunciations of these sorts of "publicity" moves. "
1	"the clavey dispute, advocates for both sides had at their disposal a well-developed set of tools (used in political disputes of all sorts in the united states) for generating public and media attention, such as a fax network for press releases, slick bumper stickers (the opposition   s read simply: "save the clavey"), guest editorials sent out to newspapers for consideration, slide shows, newsletters and mass mailings, endorsement campaigns and announcements, and a distinctly american form of pamphlet, the "alert". "
1	"interviews with key environmental leaders in the clavey dispute reveal they were explicitly concerned with making the clavey a well-known issue, particularly among environmentally minded citizens in san francisco and nationwide, and among key elected officials such as national democratic congressional representatives who might endorse the opposition campaign. "
1	"trpt worked with national environmental groups including american rivers, which publishes an annual list of "the ten most endangered rivers" in the united states and generates a great deal of national media coverage. "
1	"the head of trpt, johanna thomas, said the national groups acted "kind of like a public relations firm for the river, because they had the ability to put out materials and reach a huge audience, much like advertisers do". "
1	"this advertisement for the river then paid crucial dividends in the form of pressure on the dam proponents to recognize that not just the politicians were against the dam but also masses of people from throughout the state and nation, many of whom wrote letters to government calling for a halt to the project. "
1	"she contends, "i think it was very threatening when [tid] saw that the clavey was getting this kind of attention". "
1	"the denunciation of these publicity efforts by the dam proponents also suggests the relevance and power of opinion claims. "
1	"mills attempts to play down the national renown of the clavey by pointing out that most of the people who wrote opposition letters were "outsiders" who would never see the river and had no "stake" in the dispute. "
