category	text
1	"Portability in high-level computer programming is the usability of the same software in different environments. "
1	"The prerequirement for portability is the generalized abstraction between the application logic and system interfaces. "
1	"Portability, in relation to software, is a measure of how easily an application can be transferred from one computer environment to another. "
1	"Being able to move software from one machine platform to another.  "
1	"It refers to system software or application software that can be recompiled for a different platform or to software that is available for two or more different platforms.  "
1	"An application that can be converted from one computer environment to another. "
1	"An application that can be easily moved from one computer to another.  "
1	"With regards to Windows apps, such programs would not use the Registry.  "
1	"In a totally portable application, all related files would be stored in a single folder so it can be copied with one command or one drag and drop.  "
1	"The folder would likely have many subfolders, and they would all copy in the same transaction. "
1	"An application stored on a USB flash drive that can run on a computer without leaving any trace of itself when the application is finished.  "
1	"It is designed to restore all changed settings when the program is closed.  "
1	"Non portable USB applications are typically dependent on a particular brand of USB drive. "
1	"To translate software to run in a different computer environment. For example, "port the application to Unix" means make the necessary changes in the program's source code so that it can be compiled and run under the Unix operating system. "
1	"Most software developers agree that portability is a desirable attribute for their software projects. "
1	"The useful life of an application, for example, is likely to be extended, and its user base increased, if it can be migrated to various platforms over its lifetime.  "
1	"In spite of the recognized importance of portability, there is little guidance for the systematic inclusion of portability considerations in the development process. "
1	"The concept of software portability has different meanings to different people.  "
1	"According to some definitions, software is portable only if the executable files can be run on a new platform without change.  "
1	"Others may feel that a significant amount of restructuring at the source level is still consistent with portability.  "
1	"A software unit is portable (exhibits portability) across a class of environments to the degree that the cost to transport and adapt it to a new environment in the class is less than the cost of redevelopment. "
1	"Portability is not a binary attribute.  "
1	"We consider that each software unit has a quantifiable degree of portability to a particular environment or class of environments, based on the cost of porting.  "
1	"Note that the degree of portability is not an absolute; it has meaning only with respect to a specific environment or class. "
1	"There are both costs and benefits associated with developing software in a portable manner. These costs and benefits take a variety of forms. "
1	"We distinguish two major phases of the application porting process. "
1	"Transportation and adaptation. Adaptation includes most of the modifications that need to be made to the original software, including automated retranslation.  "
1	"Transportation refers to the physical movement of the software and associated artifacts, but also includes some low level issues of data representation. "
1	"The alternative to porting software to a new environment is redeveloping it based on the original specifications. "
1	"There are many hardware and software platforms; it is not only a Windows world. "
1	"Users who move to different environments want familiar software. "
1	"But not all processors enforce scatar data items aligned at memory addresses that are even multiples of their own size, to the chagrin of nonportable software. "
1	"Portable software could simply not rely on ANSI C being widely available - GNU C was not yet mature - and it was often an agonizing tradeoff on just how much of ANSI C could be use. "
1	"Most software porters created portability macros that allowed the use of many of these features in code that could be straight K&R or ANSI. "
1	"The "build environment" is the set of all software and tools required to go from "source code" to "delivered product". "
1	"In addition, it's often simply not possible to "work around" an issue with an operating system in the same way that conditional compilation can resolve one with the compiler. "
1	"When considering a port to entirely different operating systems these issues become much larger.  "
