sentence	provenance	convention
in view of the issues with the swagger codegen 3.0.0 (beta) release and the disagreement on the project\\\'s direction, more than 40 top contributors and template creators of swagger codegen decided to fork swagger codegen and maintain a community driven version called "openapi generator".	github	civic
  this is an easter egg concerned with the community\\\'s feelings on this issue.	github	civic
we would like to take this opportunity to thank all of our community members for their effort and dedication to jersey for these many years.	github	civic
and of course, we couldn\'t do this without [our community of chrome has the largest share of global usage and is the preferred target platform for the majority of developers.	github	civic
 remember that this is a community project, people are contributing in their free time because they like doing so: don\\\'t take the fun away!	github	civic
since i intended this to be a community project, the goals are aligned, keeping that fact in mind.	github	civic
## community and support the debezium community welcomes anyone that wants to help out in any way, whether that includes reporting problems, helping with documentation, or contributing code changes to fix bugs, add tests, or implement new features.	github	civic
as a community, we no longer hand engineer our mapping functions, and this work suggests we can achieve reasonable results without hand engineering our loss functions either.	github	civic
our aim is for the number of tasks and agents that train on them to grow in a community based way.	github	civic
## help support spyder, the community developed scientific ide!	github	civic
the pmc will lean towards developer community support, to help discovery and initial steps towards incubation in the external repository.	github	civic
unless required by applicable law or agreed to in writing, software if you have any questions or comments about voltdb, we encourage you to reach out to the voltdb team and community.	github	civic
* come join the aws java community chat on [gitter][gitter] use caffeine in a community provided integration: a community group was created, they created camerakit, don\\\'t hesitate to try it !	github	civic
# developer community\\r ant financial joins fescar, which make it to be a more neutral and open community for distributed transaction and fescar be rename to seata.	github	civic
as the apache airflow community grows, we\\\'d like to keep track of who is using additionally, you can modify sam to integrate it with other frameworks and deployment providers from the community for building serverless applications.	github	civic
 tcsh community supported you can always contact us via github@applikey.biz we are open for any inquiries regarding our libraries and controls, new open source projects and other ways of contributing to the community.	github	civic
whether you want learn which organizations are the big players in the web archiving space, want to find a specific open source tool for your web archiving need, or just want to see where archivists hang out online, our community wiki page serves as an index of the broader web archiving community.	github	civic
# join the fairseq community we welcome contributions from our community of all before using any encryption software, please check your country\'s laws, regulations and policies concerning ### community projects the overwhelming support by the community gave it the shape it is in right now.	github	civic
 [and here you can find lots of sophisticated **quickstart** templates shared by the community!	github	civic
