sentence	provenance	convention
ideas maker, curious and nature lover.'	github	green
 in exploring the category of "green" justifications, we contribute fresh insight into the literature on environmental discourse or rhetoric, particularly the understanding of the different conceptions of wilderness and nature in the united states and france, and of the relations of humans (and human communities) and nature (dupuis and vandergeest 1996; spangle and knapp 1996; bennett and chaloupka 1994; killingsworth and palmer 1992).	justification	green
and our analysis adds an important comparative dimension missing from most previous work on environmental rhetoric by asking what differences might exist in the content or use of "green" arguments or images in these two countries, which have different environmental histories and movements.	justification	green
justifications based on "green ness" and environmentalism ["green" worth] many examples in previous sections refer to nature or the environment within an evaluation based on non environmental justifications and principles, e.g.	justification	green
when nature is marketed as a tourist attraction.	justification	green
other examples move to the next level: when environmental justifications, based on principles of what might be called "green ness" (as described below), are presented for their own sake or are combined with other sorts of justifications, e.g.	justification	green
when mitigations to infrastructure plans are proposed to make them more environmentally sensitive.46 these types of justifications which might add a new "order of worth" to the boltanski and th venot (1991) scheme (see latour 1995; lafaye and th venot 1993; barbier 1992) have become more refined and widespread since the rise of the global environmental movement in the past few decades, but they also have important historical and cultural precursors (oelschlaeger 1991; nash 1982; moscovici 1977; collingwood 1945).	justification	green
actions or entities are worthy, with regard to this "green" justification, when they support or reflect the principles of environmentalism or "green ness", e.g.	justification	green
clean/non polluting, renewable, recyclable, sustainable, and in harmony with nature.	justification	green
justifications based on environmentalism consider the general good of humanity to be advanced through a sensitivity to environmental issues and consequences, protection of wilderness, stewardship of environmental resources, and cultivation of various attachments to nature, the land, or the wild.	justification	green
strictly green arguments, beyond the level of integrating the environment into other sorts of non green justifications, posit a unique type of dependency which assumes more than simply a spatial interaction of humanity with the natural world, but also a temporal extension of humanity by way of an implicit or explicit reference to future generations (goodwin 1992; dobson 1990; larr re 1997; larr re and larr re 1997; naess and rothenberg 1989; taylor 1986).	justification	green
the green order of worth is revealed in distinctly "green" qualifications, such as the "health" of trout in the clavey river valued as something that is good for humanity, which are not considered relevant in any other order.	justification	green
at a further level, some environmental evaluations depart from the political and moral requirements which are shared by all orders of worth where common humanity is the group of reference for the evaluation and propose an extension of the "community" of reference to include non human entities (a move to "ecocentrism" rather than "anthropocentrism"; see, for example, eckersley 1996; devall and sessions 1985; stone 1974).	justification	green
the subsections which follow compare the expression and frequency of a number of green or environmental arguments found in the comparative survey, and explore the different modes of the relation of humans and the environment revealed by these arguments.	justification	green
unique and endangered perhaps the greatest similarity between the two cases is the extent and nature of arguments about the uniqueness or singularity of the natural places in dispute, and about the threat to "endangered species" (plant and animal) posed by the projects.	justification	green
in the clavey case, uniqueness arguments are perhaps the most prevalent environmental justifications offered by dam opponents.	justification	green
there are several senses in which the river is characterized as a unique natural place: in terms of being the "last" undammed river in the ecosystem, in terms of its specific role in local heritage and its historical importance, in terms of being a "rare" ecosystem not found elsewhere and in terms of the number of endangered species which live in the ecosystem.	justification	green
