,sentence,provenance,convention_civic,convention_domestic,convention_green,convention_industrial,convention_inspired,convention_market,convention_project,convention_renown
0,"in view of the issues with the swagger codegen 3.0.0 (beta) release and the disagreement on the project\\\'s direction, more than 40 top contributors and template creators of swagger codegen decided to fork swagger codegen and maintain a community driven version called ""openapi generator"".",github,1,0,0,0,0,0,0,0
1,  this is an easter egg concerned with the community\\\'s feelings on this issue.,github,1,0,0,0,0,0,0,0
2,we would like to take this opportunity to thank all of our community members for their effort and dedication to jersey for these many years.,github,1,0,0,0,0,0,0,0
3,"and of course, we couldn\'t do this without [our community of chrome has the largest share of global usage and is the preferred target platform for the majority of developers.",github,1,0,0,0,0,0,0,0
4," remember that this is a community project, people are contributing in their free time because they like doing so: don\\\'t take the fun away!",github,1,0,0,0,0,0,0,0
5,"since i intended this to be a community project, the goals are aligned, keeping that fact in mind.",github,1,0,0,0,0,0,0,0
6,"## community and support the debezium community welcomes anyone that wants to help out in any way, whether that includes reporting problems, helping with documentation, or contributing code changes to fix bugs, add tests, or implement new features.",github,1,0,0,0,0,0,0,0
7,"as a community, we no longer hand engineer our mapping functions, and this work suggests we can achieve reasonable results without hand engineering our loss functions either.",github,1,0,0,0,0,0,0,0
8,our aim is for the number of tasks and agents that train on them to grow in a community based way.,github,1,0,0,0,0,0,0,0
9,"## help support spyder, the community developed scientific ide!",github,1,0,0,0,0,0,0,0
10,"the pmc will lean towards developer community support, to help discovery and initial steps towards incubation in the external repository.",github,1,0,0,0,0,0,0,0
11,"unless required by applicable law or agreed to in writing, software if you have any questions or comments about voltdb, we encourage you to reach out to the voltdb team and community.",github,1,0,0,0,0,0,0,0
12,"* come join the aws java community chat on [gitter][gitter] use caffeine in a community provided integration: a community group was created, they created camerakit, don\\\'t hesitate to try it !",github,1,0,0,0,0,0,0,0
13,"# developer community\\r ant financial joins fescar, which make it to be a more neutral and open community for distributed transaction and fescar be rename to seata.",github,1,0,0,0,0,0,0,0
14,"as the apache airflow community grows, we\\\'d like to keep track of who is using additionally, you can modify sam to integrate it with other frameworks and deployment providers from the community for building serverless applications.",github,1,0,0,0,0,0,0,0
15," tcsh community supported you can always contact us via github@applikey.biz we are open for any inquiries regarding our libraries and controls, new open source projects and other ways of contributing to the community.",github,1,0,0,0,0,0,0,0
