0	Titanium and its alloys are widely used in many clinical applications, but implant-associated infection may lead to implant failure.
1	Because of the increasing concern about antibiotic resistant pathogen, photothermal therapy (PTT) as a new treatment strategy has received considerable attention.
2	In this work, gold nanorods (GNRs) photoexcited by the near-infrared (NIR) light were immobilized on Ti surface by electrostatic surface self-assembly technique.
3	Field emission scanning electron microscopy (SEM) and X-ray photoelectron spectroscopy (XPS) were used to explore the morphology and composition of the GNRs-modified surface.
4	The photothermal temperature of the immobilized GNRs was measured by an infrared thermal imaging system in real time.
5	In vitro study reveal that the prepared GNRs-modified surface exhibits antibacterial activity against four kinds of bacterial strains including both Gram-negative bacilli (Escherichia coli and Pseudomonas aeruginosa) and Gram-positive cocci (Staphylococcus aureus and Staphylococcus epidermidis) under the irradiation of 808 nm laser.
6	Besides, the antibacterial efficiency of the GNRs-modified surface could keep stable after multiple laser exposure.
7	It should be noted that the GNRs-modified surface shows better antibacterial effect against Gram-negative bacilli compared to Gram-positive cocci.
8	Moreover, the GNRs-modified surface has no obvious adverse effect to the osteoblast precursor cells under NIR irradiation.
9	These data demonstrate that the GNRs-modified surface with negligible cytotoxicity and recyclable antibacterial effect provides a favorable model for the translation of photothermal therapy to the clinical application.
10	AIMS AND OBJECTIVES-To explore nurses' perceptions of the impact of a programme designed to train them to teach end-of-life care.
11	BACKGROUND-Central to national and international policies is the need for generalist healthcare staff to have education in end-of-life care.
12	Much end-of-life care education is provided by specialist nurses who often have no specific education development to prepare them to teach.
13	To address this gap an Education Development Programme (EDP) was developed and delivered to specialist nurses.
14	We report on the evaluation of the programme.
15	DESIGN-A qualitative programme evaluation methodology was adopted.
16	METHODS-Data were collected through focus groups, at three hospice education centres in North West England, with a total of 20 participants.
17	Nurses who had completed the EDP were purposively sampled.
18	Data were digitally audio-recorded and subjected to thematic analysis to organise, reduce and refine the data.
19	Ethical approval was obtained.
20	COREQ guidelines have been adhered to in the reporting of this study.
21	RESULTS-Two main themes were identified; learning to teach and building skills to change teaching practice.
22	Participants felt more confident and better prepared to teach.
23	CONCLUSIONS-It cannot be assumed that specialist staff, with teaching in their role, have the skills to facilitate learning.
24	This programme offers a potential method of improving facilitation skills for nurses who have an education element to their role.
25	RELEVANCE TO CLINICAL PRACTICE-Quality end-of-life care is only possible with a skilled workforce, confident and able to apply the principles of compassionate end-of-life care to everyday practice.
26	Appropriately trained, specialist staff are better able to teach others how to deliver good quality end-of-life care.
27	Specialist staff with teaching responsibilities should be provided with, or engage in, Continuous Professional Development to develop their skills and improve their efficacy when teaching.
28	This article is protected by copyright.
29	All rights reserved.
30	Many alien plant species are introduced to urban areas to create, augment or restore ecosystem services (ES).
31	However, many of these species spread beyond original plantings, sometimes causing negative effects on existing ES or creating novel ecosystem disservices (EDS).
32	An understanding of the perceptions of urban residents regarding invasive alien plants (IAPs) and the ES and EDS they provide is needed for the effective prioritisation of IAP management efforts in cities.
33	Using the city of Cape Town, South Africa as a case study, we conducted questionnaire-based surveys (online and face-to-face) to determine the perceptions of urban residents regarding IAPs and their capacity to provide ES and EDS.
34	Most urban residents perceive IAPs negatively (i.e.
35	agreeing that they create EDS), but many recognise their importance in providing ES.
36	Although most residents are not opposed to the management of IAPs, such actions are not perceived as a high priority relative to other environmental problems.
37	Socio-demographic variables such as age, education, environmental awareness, and ethnicity shape urban residents' perceptions of IAPs.
38	Older, more educated respondents were more likely to perceive IAPs negatively, while respondents with greater environmental awareness were aware of the benefits provided by IAPs.
39	This study highlights the need to integrate public perceptions into the planning and management of IAPs and emphasises the importance of including ES assessments into the decision-making process, particularly in urban areas.
40	Semiconductor quantum dots have attracted increasing attention, owing to their unique optical and electrical properties compared to traditional organic fluorescent dyes.
41	However, one of the main obstacles impeding their biological applications is their biocompatibility.
42	Hence, in this work, for achieving biocompatible quantum dots, oil-soluble ZnAgInSe/ZnS quantum dots without highly toxic heavy metals were selected, and four kinds of biocompatible thiols (dihydrolipoic acid, L-cysteine, N-acetyl-L-cysteine and glutathione) were explored as their water transfer agents.
43	Among them, dihydrolipoic acid was found to be more favorable for achieving strongly fluorescent water-soluble quantum dots.
44	Based on this observation, a tumor targeted ligand, namely dihydrolipoic acid-poly(ethylene glycol)-succinic anhydride-cyclic arginine-glycine-aspartate, was designed to further enhance their tumor targeting ability.
